Chain Type,Input Size,MTF Insert,MTF Find
MTF List,"1,000",0.5,0.3333333
,"10,000",3,1.8333333
,"20,000",7.1666666,1.5
,"30,000",5.833333333,1.666666667
,"40,000",10,3.333333333
,60000,20.6666,5.833333333
,80000,22.16666,6.6666666
,100000,24.66666,9.1666666
,,,
,,,
Chain Type,Input Size,AVL Insert,AVL Find
AVL,"1,000",0.66666,0.166666
,"10,000",2.333333,1.16666
,"20,000",4.166666,1
,"30,000",8.83333,3.1666
,"40,000",9.16666,3.83333
,60000,18.5,7.6666
,80000,25.5,10.333333
,100000,25.8333,11
,,,
,,,
Chain Type,Input Size,BST Insert,BST Find
,"1,000",0.2333,0.166666
,"10,000",0.833333,0.8333
,"20,000",2.83333,1.16666
,"30,000",5.333333,3.83333
,"40,000",7.5,4.333333
,60000,14.16666,7.83333
,80000,20.1666,13.5
,100000,25.333,15.3333